Notes_GF,Audio_File_Name,Number_Sentences,Number_LoLexConstrSentences,Number_MedLexConstrSentences,Number_HiLexConstrSentences,TargID_GM,targ,targ_Type,POS,Definition1,Definition1_Source,Definition2,Definition2_Source,Synonyms,Antonyms,Hypernyms,SisterConcepts,Synonym1,Syn1_FSG,Syn1_BSG,Syn1_MESA,Syn1_LSA,Syn1_EAT,Synonym2,Syn2_FSG,Syn2_BSG,Syn2_MESA,Syn2_LSA,Syn2_EAT,Synonym3,Syn3_FSG,Syn3_BSG,Syn3_MESA,Syn3_LSA,Syn3_EAT,MRC_NLET,MRC_NPHN,MRC_NSYL,MRC_BFRQ,MRC_KFFRQ,MRC_TLFRQ,MRC_FAM,MRC_AOA,LWV_DOLVL,LWV_PCTCOR,MRC_CNC,MRC_IMG
chiefly in botany (modern usage),Word1_AJ_acerate,1,NULL,NULL,NULL,1,acerate,rare,AJ,narrow and long and pointed; as pine leaves,WordNet (via onelook.com),NA,NA,,,,,sharp,NA,NA,NA,NA,NA,pointy,NA,NA,NA,NA,NA,barbed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chiefly in music (modern usage),Word2_AJ_aleatoric,1,NULL,NULL,NULL,2,aleatoric,rare,AJ,"characterized by chance or indeterminate elements (""aleatoric music"")",Merriam-Webster (11th ed.),NA,NA,,,,,chance,NA,NA,NA,NA,NA,unexpected,NA,NA,NA,NA,NA,adventitious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word3_AJ_algid,1,NULL,NULL,NULL,3,algid,rare,AJ,cold,Merriam-Webster (11th ed.),NA,NA,,,,,cold,NA,NA,NA,NA,NA,chilly,NA,NA,NA,NA,NA,frigid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word4_AJ_aphotic,1,NULL,NULL,NULL,4,aphotic,rare,AJ,"lacking light; especially not reached by sunlight (""The aphotic depths of the sea where no photosynthesis occurs"")",WordNet (via onelook.com),NA,NA,,,,,dark,NA,NA,NA,NA,NA,black,NA,NA,NA,NA,NA,tenebrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word5_VB_blench,1,NULL,NULL,NULL,5,blench,rare,VB,"to react in a way that shows you are very frightened, for example by turning pale",Macmillan (via onelook.com),NA,NA,,,,,react,NA,NA,NA,NA,NA,flinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word6_AJ_breme,1,NULL,NULL,NULL,6,breme,rare,AJ,Fierce; sharp; severe; cruel.,Webster's (via onelook),NA,NA,,,,,mean,NA,NA,NA,NA,NA,ornery,NA,NA,NA,NA,NA,cantankerous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word7_VB_burke,1,NULL,NULL,NULL,7,burke,rare,VB,"get rid of, silence, or suppress (""Burke an issue"")",WordNet (via onelook.com),NA,NA,,,,,silence,NA,NA,NA,NA,NA,suppress,NA,NA,NA,NA,NA,quash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word8_VB_chouse,1,NULL,NULL,NULL,8,chouse,rare,VB,defeat someone in an expectation through trickery or deceit,WordNet (via onelook.com),NA,NA,,,,,cheat,NA,NA,NA,NA,NA,swindle,NA,NA,NA,NA,NA,bilk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word9_AJ_conticent,1,NULL,NULL,NULL,9,conticent,rare,AJ,Silent,Webster's (via onelook),NA,NA,,,,,quiet,NA,NA,NA,NA,NA,silent,NA,NA,NA,NA,NA,reticent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word10_VB_augur,1,NULL,NULL,NULL,10,augur,Tier2_hard,VB,"to be a sign of what may happen in the future (""The look on her face did not augur well."")",Macmillan (via onelook.com),NA,NA,,,,,forecast,NA,NA,NA,NA,NA,predict,NA,NA,NA,NA,NA,portend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word11_NN_clout,1,NULL,NULL,NULL,11,clout,Tier2_hard,NN,"the authority to make decisions, or the power to influence events (""It is a system in which individual voters have more clout."")",Macmillan (via onelook.com),NA,NA,,,,,power,NA,NA,NA,NA,NA,authority,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
